ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
46;1;"Cuchillos paneros";45;0;"Cuchillos paneros";"Cuchillos paneros";"Cuchillos paneros";"Cuchillos paneros";" ";
47;1;"Cuchillos para verdura";45;0;"Cuchillos para verdura";"Cuchillos para verdura";"Cuchillos para verdura";"Cuchillos para verdura";" ";
48;1;"Cuchillos mondadores";45;0;"Cuchillos mondadores";"Cuchillos mondadores";"Cuchillos mondadores";"Cuchillos mondadores";" ";
49;1;"Cuchillos para chef";45;0;"Cuchillos para chef";"Cuchillos para chef";"Cuchillos para chef";"Cuchillos para chef";" ";
50;1;"Cuchillos jamoneros";45;0;"Cuchillos jamoneros";"Cuchillos jamoneros";"Cuchillos jamoneros";"Cuchillos jamoneros";" ";
51;1;"Cuchillos de cerámica";44;0;"Cuchillos de cerámica";"Cuchillos de cerámica";"Cuchillos de cerámica";"Cuchillos de cerámica";" ";
52;1;"Cuchillos de colores";44;0;"Cuchillos de colores";"Cuchillos de colores";"Cuchillos de colores";"Cuchillos de colores";" ";
53;1;"Juegos de cuchillos";44;0;"Juegos de cuchillos";"Juegos de cuchillos";"Juegos de cuchillos";"Juegos de cuchillos";" ";
54;1;"Tijeras de cocina";44;0;"Tijeras de cocina";"Tijeras de cocina";"Tijeras de cocina";"Tijeras de cocina";" ";
55;1;"Accesorios para cuchillos y tijeras";44;0;"Accesorios para cuchillos y tijeras";"Accesorios para cuchillos y tijeras";"Accesorios para cuchillos y tijeras";"Accesorios para cuchillos y tijeras";" ";
56;1;"Afiladores de cuchillos";55;0;"Afiladores de cuchillos";"Afiladores de cuchillos";"Afiladores de cuchillos";"Afiladores de cuchillos";" ";
57;1;"Guantes de protección";55;0;"Guantes de protección";"Guantes de protección";"Guantes de protección";"Guantes de protección";" ";
58;1;"Delantales de malla";55;0;"Delantales de malla";"Delantales de malla";"Delantales de malla";"Delantales de malla";" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cuchillos_para_verduras_1.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/9649486.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cuchillo-color.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/juego-cuchillos.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tijera-de-cocina_.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/afilador-cuchillo_1.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-y-cacerolas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-a-presion_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cacerolas_y_cazos_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cocottes_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cazuelas-de-barro_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/paellas_y_paelleras.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/bater_as_de_cocina.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Pote_con_asa_inox.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Cazo_Recto_Basic_Lacor.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-sueltas-y-_recambios-para-olla.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-y-cacerolas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-a-presion_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cacerolas_y_cazos_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cocottes_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cazuelas-de-barro_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/paellas_y_paelleras.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/bater_as_de_cocina.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Pote_con_asa_inox.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Cazo_Recto_Basic_Lacor.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-sueltas-y-_recambios-para-olla.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-y-cacerolas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-a-presion_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cacerolas_y_cazos_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cocottes_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cazuelas-de-barro_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/paellas_y_paelleras.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/bater_as_de_cocina.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Pote_con_asa_inox.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Cazo_Recto_Basic_Lacor.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-sueltas-y-_recambios-para-olla.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
